"duration_sec","start_time","end_time","start_station_id","start_station_name","start_station_latitude","start_station_longitude","end_station_id","end_station_name","end_station_latitude","end_station_longitude","bike_id","user_type","member_birth_year","member_gender","bike_share_for_all_trip"
80825,"2019-01-31 17:57:44.6130","2019-02-01 16:24:49.8640",229,"Foothill Blvd at 42nd Ave",37.7757452,-122.2130372,196,"Grand Ave at Perkins St",37.80889393398715,-122.25646018981932,4861,"Subscriber",1989,"Male","No"
65900,"2019-01-31 20:58:33.8860","2019-02-01 15:16:54.1730",4,"Cyril Magnin St at Ellis St",37.78588062694133,-122.4089150084319,134,"Valencia St at 24th St",37.7524278,-122.4206278,5506,"Subscriber",1989,"Male","No"
62633,"2019-01-31 18:06:52.9240","2019-02-01 11:30:46.5300",245,"Downtown Berkeley BART",37.870139,-122.268422,157,"65th St at Hollis St",37.8467842,-122.2913761,2717,"Customer",1965,"Female","No"
44680,"2019-01-31 19:46:09.7190","2019-02-01 08:10:50.3180",85,"Church St at Duboce Ave",37.7700831,-122.4291557,53,"Grove St at Divisadero",37.775946,-122.4377775,4557,"Customer",1974,"Male","No"
60709,"2019-01-31 14:19:01.5410","2019-02-01 07:10:51.0650",16,"Steuart St at Market St",37.79413,-122.39443,28,"The Embarcadero at Bryant St",37.78716801474664,-122.38809792330358,2100,"Customer","","","No"
6733,"2019-01-31 22:35:50.8130","2019-02-01 00:28:04.5120",245,"Downtown Berkeley BART",37.870139,-122.268422,266,"Parker St at Fulton St",37.8624644,-122.2647911,3532,"Subscriber",1994,"Male","No"
1188,"2019-01-31 23:54:38.9010","2019-02-01 00:14:27.9000",34,"Father Alfred E Boeddeker Park",37.7839879,-122.412408,146,"30th St at San Jose Ave",37.7423139,-122.4231805,5114,"Subscriber",1984,"Male","No"
1254,"2019-01-31 23:48:50.0920","2019-02-01 00:09:44.4970",318,"San Carlos St at Market St",37.330698,-121.888979,314,"Santa Clara St at Almaden Blvd",37.333988,-121.894902,3967,"Subscriber",1991,"Male","No"
3153,"2019-01-31 23:17:05.4620","2019-02-01 00:09:39.4570",29,"O'Farrell St at Divisadero St",37.782404601934104,-122.43944585323335,70,"Central Ave at Fell St",37.77331087889723,-122.44429260492325,4813,"Subscriber",1979,"Male","No"
323,"2019-01-31 23:59:47.5680","2019-02-01 00:05:11.1770",223,"16th St Mission BART Station 2",37.7647652154977,-122.42009103298186,129,"Harrison St at 20th St",37.758862,-122.412544,1976,"Subscriber",1991,"Male","No"
2316,"2019-01-31 23:25:59.8660","2019-02-01 00:04:36.0640",378,"Empire St at 7th St",37.34774456553247,-121.89079999923706,292,"Empire St at 1st St",37.3448821,-121.8969655,3826,"Subscriber","","","No"
433,"2019-01-31 23:57:04.3810","2019-02-01 00:04:17.4890",266,"Parker St at Fulton St",37.8624644,-122.2647911,256,"Hearst Ave at Euclid Ave",37.875111692864444,-122.26055324077606,4642,"Subscriber",1996,"Male","No"
272,"2019-01-31 23:59:44.8800","2019-02-01 00:04:17.0800",349,"Howard St at Mary St",37.78100971717512,-122.40566611289978,60,"8th St at Ringold St",37.77452040113685,-122.4094493687153,263,"Subscriber",1993,"Male","Yes"
547,"2019-01-31 23:51:54.2320","2019-02-01 00:01:01.5050",77,"11th St at Natoma St",37.7735069,-122.4160402,349,"Howard St at Mary St",37.78100971717512,-122.40566611289978,3035,"Subscriber",1988,"Male","No"
4310,"2019-01-31 22:48:47.5180","2019-02-01 00:00:37.8000",312,"San Jose Diridon Station",37.329732,-121.901782,304,"Jackson St at 5th St",37.3487586867448,-121.89479783177376,3886,"Subscriber",1985,"Male","Yes"
559,"2019-01-31 23:51:17.4070","2019-02-01 00:00:36.7480",41,"Golden Gate Ave at Polk St",37.78127,-122.41874,52,"McAllister St at Baker St",37.7774157,-122.4418376,5019,"Subscriber",1991,"Female","No"
451,"2019-01-31 23:52:50.1370","2019-02-01 00:00:22.1130",305,"Ryland Park",37.342725,-121.895617,317,"San Salvador St at 9th St",37.333955,-121.877349,3842,"Subscriber",1992,"Male","Yes"
731,"2019-01-31 23:46:39.4380","2019-01-31 23:58:50.4940",81,"Berry St at 4th St",37.77588,-122.39317,323,"Broadway at Kearny",37.79801364395978,-122.40595042705534,5480,"Subscriber",1959,"Male","No"
480,"2019-01-31 23:48:58.5830","2019-01-31 23:56:59.1980",370,"Jones St at Post St",37.7873267660624,-122.41327822208405,21,"Montgomery St BART Station (Market St at 2nd St)",37.7896254,-122.400811,4960,"Subscriber",1987,"Male","Yes"
252,"2019-01-31 23:52:29.4070","2019-01-31 23:56:42.3240",121,"Mission Playground",37.7592103,-122.4213392,133,"Valencia St at 22nd St",37.7552126,-122.4209752,5257,"Subscriber",1995,"Male","No"
376,"2019-01-31 23:49:32.7770","2019-01-31 23:55:49.7280",25,"Howard St at 2nd St",37.787521780456245,-122.39740490913391,349,"Howard St at Mary St",37.78100971717512,-122.40566611289978,3649,"Customer",1990,"Male","No"
340,"2019-01-31 23:49:27.0610","2019-01-31 23:55:07.5000",95,"Sanchez St at 15th St",37.7662185,-122.4310597,58,"Market St at 10th St",37.776619,-122.417385,5382,"Customer",1989,"Male","No"
1485,"2019-01-31 23:29:49.6890","2019-01-31 23:54:35.1390",3,"Powell St BART Station (Market St at 4th St)",37.78637526861584,-122.40490436553954,118,"Eureka Valley Recreation Center",37.7591769,-122.4369431,5193,"Subscriber",1965,"Male","No"
424,"2019-01-31 23:47:30.2110","2019-01-31 23:54:34.9960",201,"10th St at Fallon St",37.7976728,-122.2629973,221,"6th Ave at E 12th St (Temporary Location)",37.794396,-122.253842,198,"Subscriber",1984,"Male","Yes"
851,"2019-01-31 23:40:06.4740","2019-01-31 23:54:17.9920",223,"16th St Mission BART Station 2",37.7647652154977,-122.42009103298186,39,"Scott St at Golden Gate Ave",37.7789994,-122.4368608,5265,"Subscriber",1962,"Other","Yes"
836,"2019-01-31 23:40:20.8170","2019-01-31 23:54:16.9200",223,"16th St Mission BART Station 2",37.7647652154977,-122.42009103298186,39,"Scott St at Golden Gate Ave",37.7789994,-122.4368608,5354,"Subscriber",1989,"Female","Yes"
480,"2019-01-31 23:44:30.6270","2019-01-31 23:52:31.5850",29,"O'Farrell St at Divisadero St",37.782404601934104,-122.43944585323335,118,"Eureka Valley Recreation Center",37.7591769,-122.4369431,4533,"Subscriber",1987,"Male","No"
538,"2019-01-31 23:42:28.6950","2019-01-31 23:51:27.5600",115,"Jackson Playground",37.7650259,-122.3987734,126,"Esprit Park",37.7616343,-122.3906477,5309,"Subscriber",1989,"Female","No"
342,"2019-01-31 23:45:06.3450","2019-01-31 23:50:48.6480",364,"China Basin St at 3rd St",37.7719996,-122.3899698,28,"The Embarcadero at Bryant St",37.78716801474664,-122.38809792330358,5122,"Subscriber",1996,"Male","No"
678,"2019-01-31 23:39:27.1190","2019-01-31 23:50:45.1270",18,"Telegraph Ave at Alcatraz Ave",37.85022187449679,-122.26017236709595,251,"California St at University Ave",37.87055532905745,-122.27972030639648,4542,"Subscriber",1985,"Male","No"
473,"2019-01-31 23:42:21.2950","2019-01-31 23:50:14.8640",115,"Jackson Playground",37.7650259,-122.3987734,126,"Esprit Park",37.7616343,-122.3906477,4737,"Subscriber",1986,"Male","No"
193,"2019-01-31 23:46:48.2630","2019-01-31 23:50:02.1130",86,"Market St at Dolores St",37.7693053,-122.4268256,73,"Pierce St at Haight St",37.7717933,-122.4337079,4809,"Subscriber",1996,"Male","No"
478,"2019-01-31 23:40:21.5540","2019-01-31 23:48:20.0810",370,"Jones St at Post St",37.7873267660624,-122.41327822208405,41,"Golden Gate Ave at Polk St",37.78127,-122.41874,5373,"Subscriber",1991,"Female","No"
748,"2019-01-31 23:35:49.4820","2019-01-31 23:48:18.4590",364,"China Basin St at 3rd St",37.7719996,-122.3899698,16,"Steuart St at Market St",37.79413,-122.39443,3249,"Subscriber",1981,"Female","No"
129,"2019-01-31 23:43:23.0630","2019-01-31 23:45:32.5280",17,"Embarcadero BART Station (Beale St at Market St)",37.792251,-122.397086,22,"Howard St at Beale St",37.789756,-122.394643,1195,"Subscriber",1989,"Female","No"
185,"2019-01-31 23:42:27.1690","2019-01-31 23:45:32.4480",244,"Shattuck Ave at Hearst Ave",37.87367621459825,-122.26848721504211,254,"Vine St at Shattuck Ave",37.88022244590679,-122.26959228515624,4815,"Subscriber",1994,"Female","No"
563,"2019-01-31 23:35:59.1430","2019-01-31 23:45:23.0070",78,"Folsom St at 9th St",37.7737172,-122.4116467,62,"Victoria Manalo Draves Park",37.77779057034257,-122.40643188357353,1698,"Subscriber",1994,"Female","No"
370,"2019-01-31 23:38:32.4750","2019-01-31 23:44:43.0330",278,"The Alameda at Bush St",37.3319323,-121.9048882,282,"Market St at Park St",37.332426301252056,-121.89034938812256,3945,"Subscriber",1991,"Male","No"
335,"2019-01-31 23:37:49.7560","2019-01-31 23:43:25.2290",104,"4th St at 16th St",37.76704457969368,-122.39083349704742,81,"Berry St at 4th St",37.77588,-122.39317,845,"Subscriber",1959,"Male","No"
785,"2019-01-31 23:28:13.1430","2019-01-31 23:41:19.1380",239,"Bancroft Way at Telegraph Ave",37.8688126,-122.258764,385,"Woolsey St at Sacramento St",37.8505777,-122.2781754,4913,"Subscriber",1967,"Male","No"
588,"2019-01-31 23:31:18.0150","2019-01-31 23:41:06.2930",86,"Market St at Dolores St",37.7693053,-122.4268256,52,"McAllister St at Baker St",37.7774157,-122.4418376,4804,"Subscriber",1974,"Male","Yes"
1296,"2019-01-31 23:19:26.6340","2019-01-31 23:41:02.8290",139,"Garfield Square (25th St at Harrison St)",37.7510171,-122.4119009,285,"Webster St at O'Farrell St",37.78352083526095,-122.43115782737732,5268,"Subscriber",1995,"Female","No"
1304,"2019-01-31 23:19:12.8500","2019-01-31 23:40:57.4590",139,"Garfield Square (25th St at Harrison St)",37.7510171,-122.4119009,285,"Webster St at O'Farrell St",37.78352083526095,-122.43115782737732,4659,"Subscriber",1996,"Female","No"
774,"2019-01-31 23:27:55.6630","2019-01-31 23:40:49.7170",87,"Folsom St at 13th St",37.769757,-122.415674,73,"Pierce St at Haight St",37.7717933,-122.4337079,3309,"Subscriber",1993,"Female","No"
542,"2019-01-31 23:31:28.4910","2019-01-31 23:40:31.2820",47,"4th St at Harrison St",37.78095459960753,-122.39974915981291,91,"Berry St at King St",37.771762110313176,-122.39843755960464,5374,"Subscriber",1996,"Male","No"
519,"2019-01-31 23:31:51.8970","2019-01-31 23:40:31.2130",47,"4th St at Harrison St",37.78095459960753,-122.39974915981291,91,"Berry St at King St",37.771762110313176,-122.39843755960464,4655,"Customer","","","No"
720,"2019-01-31 23:28:04.2700","2019-01-31 23:40:04.6980",99,"Folsom St at 15th St",37.7670373,-122.4154425,34,"Father Alfred E Boeddeker Park",37.7839879,-122.412408,4842,"Subscriber",1982,"Male","Yes"
266,"2019-01-31 23:34:32.7060","2019-01-31 23:38:59.0590",17,"Embarcadero BART Station (Beale St at Market St)",37.792251,-122.397086,323,"Broadway at Kearny",37.79801364395978,-122.40595042705534,4778,"Subscriber",1972,"Male","No"
724,"2019-01-31 23:26:31.0080","2019-01-31 23:38:35.2680",73,"Pierce St at Haight St",37.7717933,-122.4337079,59,"S Van Ness Ave at Market St",37.774814,-122.418954,4759,"Customer","","","No"
388,"2019-01-31 23:31:28.7690","2019-01-31 23:37:57.0870",74,"Laguna St at Hayes St",37.776434819204745,-122.42624402046204,43,"San Francisco Public Library (Grove St at Hyde St)",37.7787677,-122.4159292,5401,"Subscriber",1982,"Male","Yes"
646,"2019-01-31 23:27:08.4060","2019-01-31 23:37:55.1710",274,"Oregon St at Adeline St",37.8575672,-122.2675583,258,"University Ave at Oxford St",37.8723555,-122.2664467,342,"Customer",1994,"Male","No"
524,"2019-01-31 23:28:06.8020","2019-01-31 23:36:51.3450",141,"Valencia St at Cesar Chavez St",37.7479981,-122.4202187,356,"Valencia St at Clinton Park",37.769188178104585,-122.42228507995605,4962,"Subscriber",1986,"Female","No"
393,"2019-01-31 23:29:57.0040","2019-01-31 23:36:30.4710",121,"Mission Playground",37.7592103,-122.4213392,137,"Jersey St at Castro St",37.750506,-122.4339496,5398,"Subscriber",1992,"Male","No"
397,"2019-01-31 23:29:51.3990","2019-01-31 23:36:28.6640",121,"Mission Playground",37.7592103,-122.4213392,137,"Jersey St at Castro St",37.750506,-122.4339496,4553,"Subscriber",1989,"Female","No"
539,"2019-01-31 23:26:06.6400","2019-01-31 23:35:06.1170",67,"San Francisco Caltrain Station 2  (Townsend St at 4th St)",37.7766392,-122.3955263,23,"The Embarcadero at Steuart St",37.791464,-122.391034,3652,"Subscriber",1993,"Male","No"
1942,"2019-01-31 23:02:34.7220","2019-01-31 23:34:57.5130",311,"Paseo De San Antonio at 2nd St",37.333798,-121.886943,278,"The Alameda at Bush St",37.3319323,-121.9048882,3945,"Subscriber",1991,"Male","No"
581,"2019-01-31 23:22:56.0950","2019-01-31 23:32:37.6000",311,"Paseo De San Antonio at 2nd St",37.333798,-121.886943,357,"2nd St at Julian St",37.34113203547954,-121.89284384250641,2808,"Subscriber",1996,"Male","Yes"
572,"2019-01-31 23:20:54.9430","2019-01-31 23:30:27.5050",129,"Harrison St at 20th St",37.758862,-122.412544,80,"Townsend St at 5th St",37.77523486860597,-122.39743709564209,5223,"Subscriber",1983,"Male","No"
170,"2019-01-31 23:27:17.1780","2019-01-31 23:30:08.1300",230,"14th St at Mandela Pkwy",37.8107432,-122.2914153,231,"14th St at Filbert St",37.80874983465997,-122.28328227996825,515,"Subscriber",1982,"Female","Yes"
278,"2019-01-31 23:23:58.0850","2019-01-31 23:28:37.0810",16,"Steuart St at Market St",37.79413,-122.39443,28,"The Embarcadero at Bryant St",37.78716801474664,-122.38809792330358,1883,"Subscriber",1979,"Male","No"
437,"2019-01-31 23:20:12.5580","2019-01-31 23:27:29.8460",130,"22nd St Caltrain Station",37.75771842163036,-122.39181250333785,345,"Hubbell St at 16th St",37.76647421515012,-122.39829540252686,5224,"Subscriber",1989,"Male","No"
238,"2019-01-31 23:23:16.6590","2019-01-31 23:27:15.1760",364,"China Basin St at 3rd St",37.7719996,-122.3899698,66,"3rd St at Townsend St",37.77874161153677,-122.39274082710836,167,"Subscriber",1992,"Male","No"
407,"2019-01-31 23:20:22.2240","2019-01-31 23:27:09.8490",27,"Beale St at Harrison St",37.7880593,-122.3918648,364,"China Basin St at 3rd St",37.7719996,-122.3899698,5275,"Subscriber",1995,"Male","No"
562,"2019-01-31 23:16:54.5960","2019-01-31 23:26:16.8430",223,"16th St Mission BART Station 2",37.7647652154977,-122.42009103298186,56,"Koshland Park",37.77341396997343,-122.42731690406801,5173,"Subscriber",1988,"Male","No"
320,"2019-01-31 23:20:17.8570","2019-01-31 23:25:38.1930",13,"Commercial St at Montgomery St",37.794231,-122.402923,284,"Yerba Buena Center for the Arts (Howard St at 3rd St)",37.78487208436062,-122.40087568759917,3048,"Subscriber",1993,"Male","No"
711,"2019-01-31 23:12:46.1800","2019-01-31 23:24:37.1990",22,"Howard St at Beale St",37.789756,-122.394643,350,"8th St at Brannan St",37.771431362921085,-122.40578681230545,4626,"Subscriber",1994,"Male","No"
703,"2019-01-31 23:12:40.8030","2019-01-31 23:24:24.1360",109,"17th St at Valencia St",37.7633158,-122.4219039,61,"Howard St at 8th St",37.7765126,-122.4113061,4980,"Customer",1988,"Male","No"
136,"2019-01-31 23:22:03.3630","2019-01-31 23:24:19.8350",14,"Clay St at Battery St",37.795001,-122.39997,11,"Davis St at Jackson St",37.79728,-122.398436,3452,"Subscriber",1972,"Female","No"
5861,"2019-01-31 21:46:34.4090","2019-01-31 23:24:16.0920",377,"Fell St at Stanyan St",37.771916882623145,-122.45370447635652,71,"Broderick St at Oak St",37.7730627,-122.4390777,4938,"Subscriber",1971,"Other","No"
